,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
1346,Maruti,VXI AMT,431000,2018,Delhi,Petrol,32330,Automatic,1,8426
1347,Honda,EX MT,292000,2014,Delhi,Petrol,66051,Manual,1,5709
1348,Renault,RXT,532000,2019,Delhi,Petrol,56503,Manual,1,10401
1349,Maruti,ALPHA CVT PETROL 1.2,749000,2019,Delhi,Petrol,16773,Automatic,1,14643
1350,Mahindra,T8,825000,2019,Delhi,Diesel,30227,Manual,1,15703
1351,Hyundai,ASTA 1.2 AT,946000,2021,Delhi,Petrol,6616,Automatic,1,18006
1352,Hyundai,SPORTZ 1.2 KAPPA VTVT CNG,727000,2022,Delhi,CNG,16325,Manual,1,14213
1353,Hyundai,S 1.2 SPECIAL EDITION,426000,2016,Delhi,Petrol,57620,Manual,1,8328
1354,Maruti,VXI,298000,2013,Delhi,Petrol,57764,Manual,1,5826
1355,Maruti,LXI (O),470000,2017,Delhi,Petrol,6795,Manual,1,9189
1356,Maruti,DELTA 1.5 SHVS MT PETROL,779000,2019,Delhi,Petrol,25643,Manual,1,15230
1357,Maruti,VXI,481000,2017,Delhi,Petrol,39046,Manual,1,9404
1358,Tata,1.2 PETROL,526000,2019,Delhi,Petrol,49857,Manual,1,10283
1359,Tata,XZA PLUS DIESEL,640000,2018,Delhi,Diesel,112209,Automatic,1,12512
1360,Tata,XZ PETROL,583000,2019,Delhi,Petrol,29052,Manual,1,11398
1361,Tata,XZ PETROL,495000,2019,Delhi,Petrol,21521,Manual,1,9677
1362,Maruti,ZDI,602000,2016,Delhi,Diesel,91429,Manual,2,11769
1363,Hyundai,MAGNA EXECUTIVE 1.2,560000,2018,Delhi,Petrol,53083,Manual,1,10948
1364,Renault,RXT 1.0 (O),392000,2021,Delhi,Petrol,31433,Manual,1,7664
1365,Maruti,VXI+,486000,2022,Delhi,Petrol,7870,Manual,1,9501
1366,Hyundai,MAGNA,450000,2019,Delhi,Petrol,27750,Manual,1,8798
1367,Maruti,VXI,248000,2013,Delhi,Petrol,112689,Manual,2,4848
1368,Maruti,TOUR S DIESEL,598000,2019,Delhi,Diesel,67441,Manual,1,11691
1369,Honda,1.5L I-VTEC VX CVT,643000,2015,Delhi,Petrol,64767,Automatic,2,12571
1370,Ford,TITANIUM PLUS 1.5 DIESEL,541000,2018,Delhi,Diesel,86349,Manual,1,10577
1371,Maruti,ZETA 1.2 AMT,458000,2018,Delhi,Petrol,107798,Automatic,1,8954
1372,Maruti,LXI,156000,2011,Delhi,Petrol,87929,Manual,1,3050
1373,Honda,1.2L I-VTEC EX,340000,2014,Delhi,Petrol,59997,Manual,2,6647
1374,Maruti,ALPHA SHVS,880000,2018,Delhi,Diesel,13941,Manual,1,16750
1375,Maruti,ZXI AMT,513000,2018,Delhi,Petrol,44783,Automatic,1,10029
1376,Datsun,T(O),530000,2021,Delhi,Petrol,10512,Manual,1,10362
1377,Maruti,LXI,350000,2014,Delhi,Petrol,46519,Manual,1,6843
1378,Maruti,DELTA PETROL 1.2,513000,2016,Delhi,CNG,58790,Manual,2,10029
1379,Maruti,ALPHA 1.5 SHVS PETROL,952000,2021,Delhi,Petrol,16877,Manual,2,18120
1380,Tata,XE PETROL,419000,2018,Delhi,Petrol,40330,Manual,1,8192
1381,Maruti,LXI,545000,2021,Delhi,Petrol,32161,Manual,1,10655
1382,Maruti,DELTA PETROL 1.2,608000,2019,Delhi,Petrol,30519,Manual,1,11887
